Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Rua;lat;lon
Copacabana;3;0;0;180;5500.0;1780.0;420.0;Rua General Polidoro, 618;-22.97673;-43.182959
Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;Rua Álvaro Ramos, 429;-23.019959;-43.469593
Leblon;3;1;0;110;3900.0;1500.0;120.0;Rua Figueiredo Magalhães, 1178;-22.986277;-43.222557
Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;Avenida Conde de Bonfim, 258;-23.006628;-43.313923
Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;Rua Dias Ferreira, 698;-23.010227;-43.369919
Copacabana;4;1;0;244;5000.0;2500.0;4100.0;Rua Bolívar, 1047;-22.975165;-43.182187
Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;Rua Bartolomeu Mitre, 949;-23.005146;-43.366428
Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;Rua Conde de Bonfim, 1443;-23.025858;-43.471348
Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;Rua Real Grandeza, 1454;-23.019297;-43.464004
Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;Rua General San Martin, 415;-23.001155;-43.362397
Humaitá;2;2;1;180;4000.0;2500.0;300.0;Rua Dias Ferreira, 311;-22.960143;-43.190669
Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;Rua Santa Clara, 1286;-23.026529;-43.465449
Centro;1;0;0;27;750.0;371.0;19.0;Rua São Clemente, 944;-22.903698;-43.170266
Ipanema;1;0;0;35;2000.0;650.0;75.0;Rua Real Grandeza, 629;-22.982791;-43.207802
Ipanema;1;0;0;38;1400.0;530.0;77.0;Rua Bartolomeu Mitre, 225;-22.989301;-43.209672
Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;Rua São Clemente, 1388;-23.028959;-43.465348
Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;Rua São Clemente, 43;-23.003527;-43.366838
Península;4;3;4;267;18000.0;3100.0;400.0;Rua das Acácias, 133;-23.003497;-43.317212
Ipanema;3;1;0;87;3200.0;1305.0;217.0;Avenida Barão de Ipanema, 861;-22.98396;-43.209712
Méier;3;1;0;90;1550.0;844.0;80.0;Rua Prudente de Morais, 785;-22.903118;-43.282696
Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;Avenida das Laranjeiras, 1345;-22.981333;-43.469341
Botafogo;3;1;1;108;5950.0;1405.0;289.0;Rua Bartolomeu Mitre, 1011;-22.956217;-43.186052
Maracanã;2;0;0;86;1800.0;600.0;82.0;Rua Timóteo da Costa, 1155;-22.921325;-43.228887
Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;Rua Voluntários da Pátria, 65;-23.028907;-43.461408
Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;Avenida Santa Clara, 1214;-22.956842;-43.366149
Ipanema;3;2;1;150;8000.0;2400.0;0.0;Rua Visconde de Pirajá, 777;-22.985994;-43.204165
Ipanema;3;1;1;140;7900.0;2900.0;500.0;Rua Prudente de Morais, 76;-22.986728;-43.204367
Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;Avenida das Acácias, 1125;-22.971479;-43.218791
Cachambi;2;0;0;60;1000.0;380.0;280.0;Rua Bolívar, 480;-22.88791;-43.269579
Leblon;2;1;1;80;3500.0;990.0;245.0;Rua das Camélias, 150;-22.980536;-43.22256
Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;Avenida Timóteo da Costa, 369;-23.001539;-43.36785
Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;Rua General San Martin, 277;-23.009027;-43.361027
Vila Valqueire;2;1;0;45;800.0;280.0;14.0;Rua General Polidoro, 472;-22.893307;-43.353405
Gávea;2;1;0;70;2800.0;680.0;98.0;Rua Barata Ribeiro, 224;-22.973571;-43.226838
Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;Rua das Laranjeiras, 1019;-23.010333;-43.368244
Centro;1;1;0;37;1100.0;540.0;900.0;Rua Real Grandeza, 875;-22.911338;-43.172824
Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;Rua das Acácias, 1111;-22.945703;-43.192851
Bonsucesso;2;1;0;77;1500.0;740.0;0.0;Avenida das Acácias, 602;-22.870127;-43.252615
Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;Rua Conde de Bonfim, 1433;-23.006889;-43.365137
Todos os Santos;3;1;1;78;1450.0;630.0;73.0;Rua Visconde de Pirajá, 837;-22.901563;-43.270702
Laranjeiras;2;1;0;54;2300.0;582.0;0.0;Rua General San Martin, 634;-22.932092;-43.190429
Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;Avenida General San Martin, 1208;-22.951905;-43.363447
Ipanema;3;1;1;120;7000.0;1800.0;370.0;Rua Bartolomeu Mitre, 172;-22.984191;-43.206183
Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;Rua Conde de Bonfim, 800;-23.000547;-43.361438
Itanhangá;2;1;0;60;1000.0;450.0;150.0;Rua São Clemente, 624;-22.989528;-43.302387
Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;Rua Timóteo da Costa, 1302;-23.02571;-43.467289
Humaitá;2;1;0;86;4000.0;1259.0;188.0;Rua Aristides Espínola, 1121;-22.955853;-43.198526
Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;Rua Bolívar, 895;-23.000701;-43.369737
Tijuca;2;1;0;80;1800.0;1100.0;84.0;Rua do Sacopã, 224;-22.929946;-43.230104
Tijuca;3;1;0;172;2700.0;780.0;170.0;Rua Vinícius de Moraes, 238;-22.920648;-43.238014
Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;Rua Marquês de Abrantes, 270;-22.943714;-43.349346
Ipanema;3;1;1;145;8000.0;14768.0;4394.0;Rua São João Batista, 596;-22.989159;-43.208506
Olaria;2;1;0;53;1100.0;160.0;0.0;Avenida São João Batista, 1278;-22.864384;-43.262346
Botafogo;2;1;1;83;2800.0;560.0;138.0;Rua Voluntários da Pátria, 381;-22.957378;-43.190522
Botafogo;2;1;1;80;4300.0;1178.0;187.0;Rua das Laranjeiras, 566;-22.951045;-43.187705
Lagoa;3;1;2;250;13900.0;2500.0;0.0;Avenida dos Ipês, 87;-22.975315;-43.20838
Leblon;3;2;1;147;7500.0;1028.0;247.0;Avenida São João Batista, 1354;-22.978702;-43.229311
Copacabana;2;1;0;67;3500.0;950.0;160.0;Rua Ataulfo de Paiva, 967;-22.965345;-43.178576
Ipanema;3;1;1;150;25000.0;1616.0;4255.0;Rua Conde de Bonfim, 776;-22.980452;-43.213985
Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;Rua Bartolomeu Mitre, 962;-23.000209;-43.365446
Catete;2;0;0;77;2400.0;1130.0;140.0;Rua Barão de Ipanema, 631;-22.928502;-43.180823
Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;Rua General San Martin, 497;-22.816609;-43.19589
Leblon;3;1;0;85;3900.0;800.0;1211.0;Rua São João Batista, 1423;-22.985246;-43.222271
Catete;2;0;0;75;3350.0;455.0;0.0;Rua Santa Clara, 807;-22.920704;-43.176729
Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;Avenida Prudente de Morais, 803;-23.020017;-43.464569
Praça Seca;2;0;0;80;900.0;350.0;0.0;Rua das Palmeiras, 311;-22.893605;-43.343042
Vila Isabel;1;0;0;37;1000.0;285.0;24.0;Rua Timóteo da Costa, 925;-22.916362;-43.239071
Copacabana;3;0;0;150;5500.0;1780.0;420.0;Rua Figueiredo Magalhães, 1404;-22.975959;-43.179491
Lagoa;3;1;1;127;5000.0;1540.0;370.0;Avenida Barata Ribeiro, 894;-22.979951;-43.198093
Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;Avenida das Acácias, 387;-22.935709;-43.340059
Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;Rua Barão de Ipanema, 265;-23.003419;-43.369859
Gávea;3;1;1;160;8000.0;2000.0;0.0;Rua Bartolomeu Mitre, 788;-22.976121;-43.231631
Copacabana;3;1;1;200;6200.0;1800.0;420.0;Rua Voluntários da Pátria, 903;-22.967933;-43.178609
Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;Rua General San Martin, 140;-22.999325;-43.369563
Botafogo;3;1;1;100;5500.0;1300.0;220.0;Rua Marquês de Abrantes, 1010;-22.950006;-43.187677
Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;Rua Ataulfo de Paiva, 413;-23.006496;-43.36022
Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;Rua Timóteo da Costa, 230;-23.02583;-43.468627
Ipanema;2;0;2;52;10000.0;3689.0;393.0;Rua das Flores, 1097;-22.978566;-43.210345
Leblon;4;4;4;380;40000.0;4700.0;1500.0;Rua Visconde de Pirajá, 724;-22.983164;-43.219266
Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;Rua Álvaro Ramos, 1427;-23.025684;-43.46056
Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;Rua dos Ipês, 191;-23.009078;-43.360794
Taquara;2;1;0;75;1200.0;330.0;75.0;Rua dos Ipês, 686;-22.922541;-43.358067
Botafogo;4;1;1;190;5500.0;1720.0;350.0;Rua Conde de Bonfim, 669;-22.947995;-43.189156
Ipanema;4;6;1;700;65000.0;8860.0;5699.0;Rua Prudente de Morais, 174;-22.986177;-43.204579
Méier;2;0;0;56;899.0;402.0;135.0;Rua Real Grandeza, 1256;-22.896836;-43.27535
Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;Rua das Flores, 978;-22.943823;-43.337611
Lagoa;3;1;2;105;3600.0;1100.0;281.0;Rua Voluntários da Pátria, 368;-22.980515;-43.198836
Copacabana;3;1;1;500;15000.0;2580.0;366.0;Rua das Laranjeiras, 1366;-22.975384;-43.178879
Tijuca;3;0;0;87;1600.0;650.0;100.0;Rua Barão de Ipanema, 86;-22.923825;-43.239566
Botafogo;1;0;0;35;1500.0;470.0;50.0;Rua São Clemente, 1275;-22.950629;-43.183082
Ipanema;3;3;1;220;22000.0;4000.0;1200.0;Avenida dos Ipês, 1160;-22.989113;-43.205988
Copacabana;3;0;0;100;3300.0;850.0;90.0;Rua Santa Clara, 310;-22.968723;-43.178144
Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;Rua Prudente de Morais, 948;-23.009001;-43.364946
Engenho Novo;2;2;0;78;800.0;915.0;55.0;Rua das Palmeiras, 297;-22.901686;-43.271437
Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;Avenida General San Martin, 921;-23.007251;-43.362481
Leblon;2;1;1;115;7500.0;980.0;270.0;Rua Voluntários da Pátria, 1327;-22.989146;-43.223104
Botafogo;2;1;1;70;3700.0;1133.0;147.0;Rua Real Grandeza, 283;-22.949385;-43.190622
Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;Rua General Polidoro, 958;-22.93334;-43.344097
Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;Avenida Prudente de Morais, 459;-23.003631;-43.369258
Campo Grande;2;0;0;60;1200.0;570.0;0.0;Rua Santa Clara, 1411;-22.902264;-43.554103
Flamengo;1;0;0;40;1900.0;430.0;54.0;Rua do Sacopã, 716;-22.937019;-43.1757
Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;Rua das Acácias, 464;-22.898969;-43.286591
Copacabana;3;2;1;250;7000.0;1500.0;434.0;Rua Aristides Espínola, 623;-22.971965;-43.180868
Ipanema;3;2;1;200;15000.0;1500.0;572.0;Rua Visconde de Pirajá, 482;-22.984895;-43.212988
Copacabana;3;1;0;140;3700.0;1347.0;0.0;Rua das Flores, 346;-22.976667;-43.183179
Copacabana;2;0;0;50;2500.0;750.0;760.0;Rua Prudente de Morais, 975;-22.970231;-43.181411
Tijuca;3;1;1;78;2500.0;730.0;178.0;Rua Conde de Bonfim, 828;-22.923871;-43.236205
Lagoa;3;1;1;75;4000.0;1250.0;309.0;Rua Timóteo da Costa, 773;-22.976423;-43.202088
Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;Avenida Álvaro Ramos, 760;-23.02136;-43.461763
Tijuca;1;0;0;65;1200.0;320.0;0.0;Rua Figueiredo Magalhães, 1257;-22.925457;-43.230402
Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;Rua Álvaro Ramos, 1264;-23.00457;-43.36961
Copacabana;4;1;2;210;13000.0;2200.0;650.0;Rua Bolívar, 267;-22.976433;-43.184833
Maracanã;3;2;3;158;2400.0;1265.0;0.0;Rua Barata Ribeiro, 1242;-22.920933;-43.227888
Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;Rua Voluntários da Pátria, 905;-23.000221;-43.366533
Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;Avenida das Acácias, 1493;-22.938264;-43.187321
Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;Rua das Flores, 1061;-23.001235;-43.367268
Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;Rua Bartolomeu Mitre, 321;-22.940446;-43.341909
São Conrado;4;4;4;510;25000.0;6600.0;0.0;Rua Barata Ribeiro, 1256;-22.999499;-43.265835
Tijuca;3;0;0;75;1800.0;350.0;0.0;Avenida São João Batista, 1485;-22.91983;-43.233328
Ipanema;3;1;1;126;5500.0;1400.0;2000.0;Rua Conde de Bonfim, 129;-22.988101;-43.210221
Leblon;4;2;2;250;17500.0;4990.0;620.0;Rua do Sacopã, 234;-22.980736;-43.225295
Copacabana;4;2;2;436;17000.0;3900.0;1000.0;Rua Ataulfo de Paiva, 356;-22.974929;-43.177315
Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;Rua General San Martin, 745;-22.941595;-43.343718
Tijuca;2;1;1;71;1500.0;600.0;0.0;Avenida Álvaro Ramos, 960;-22.930691;-43.237076
Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;Rua Visconde de Pirajá, 96;-23.00271;-43.362958
Leblon;3;1;0;87;3800.0;970.0;273.0;Rua do Sacopã, 1268;-22.985401;-43.224026
Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;Avenida Uruguai, 762;-22.933909;-43.182476
Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;Avenida Silva Rabelo, 517;-23.019285;-43.465355
Leblon;2;1;0;70;4200.0;1100.0;200.0;Rua das Laranjeiras, 603;-22.983814;-43.224123
Pilares;3;0;0;65;1200.0;350.0;16.0;Rua das Laranjeiras, 514;-22.873292;-43.29303
Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;Avenida Dias Ferreira, 677;-23.008201;-43.370702
Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;Rua Barata Ribeiro, 424;-22.93601;-43.184518
Tijuca;2;0;0;50;1800.0;347.0;25.0;Avenida São João Batista, 934;-22.923264;-43.232395
Ipanema;3;1;1;140;6500.0;1800.0;506.0;Avenida Figueiredo Magalhães, 1083;-22.98407;-43.206463
Campo Grande;2;0;0;60;800.0;380.0;0.0;Avenida das Acácias, 180;-22.897641;-43.553116
Ipanema;4;1;1;170;12000.0;1210.0;4222.0;Rua Timóteo da Costa, 984;-22.981011;-43.210319
Centro;1;0;0;35;1350.0;420.0;24.0;Rua Mena Barreto, 1103;-22.901162;-43.167085
Tijuca;2;0;0;63;1400.0;440.0;61.0;Rua São Clemente, 71;-22.9227;-43.235842
Copacabana;3;1;0;112;3800.0;1123.0;286.0;Avenida Álvaro Ramos, 702;-22.967772;-43.182324
Tijuca;3;1;0;129;1800.0;850.0;116.0;Rua Ataulfo de Paiva, 136;-22.919965;-43.235061
Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;Avenida Santa Clara, 1235;-23.003834;-43.361375
Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;Rua Uruguai, 172;-23.029756;-43.467928
Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;Rua das Laranjeiras, 1299;-22.936996;-43.341041
Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;Rua do Sacopã, 359;-23.001627;-43.36139
Taquara;2;2;0;55;790.0;350.0;0.0;Rua Timóteo da Costa, 776;-22.922137;-43.356002
Copacabana;2;0;0;54;1800.0;590.0;0.0;Rua Dias Ferreira, 1344;-22.968973;-43.187845
Catete;2;1;1;70;3300.0;1365.0;180.0;Avenida Figueiredo Magalhães, 528;-22.923641;-43.179648
Copacabana;5;1;3;390;10000.0;1000.0;1000.0;Rua Santa Clara, 601;-22.96686;-43.184613
Maracanã;2;1;0;53;1300.0;492.0;16.0;Rua Bartolomeu Mitre, 136;-22.921402;-43.226161
Botafogo;1;0;0;35;1000.0;293.0;86.0;Avenida Prudente de Morais, 1498;-22.953797;-43.184088
Tijuca;3;1;0;164;3500.0;1310.0;257.0;Rua dos Ipês, 866;-22.928144;-43.235105
Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;Rua das Palmeiras, 594;-22.951529;-43.362189
Água Santa;2;1;0;50;850.0;280.0;12.0;Rua dos Ipês, 554;-22.887716;-43.286537
Botafogo;2;1;1;79;4315.0;1110.0;187.0;Rua São Clemente, 685;-22.957094;-43.190276
Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;Rua das Camélias, 1439;-23.022586;-43.46828
Tijuca;1;0;0;36;1300.0;295.0;24.0;Rua Uruguai, 1346;-22.922676;-43.23351
Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;Avenida São Clemente, 799;-23.011779;-43.314896
Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;Rua das Laranjeiras, 456;-22.936192;-43.342511
São Cristóvão;2;0;0;50;1000.0;600.0;0.0;Rua Uruguai, 1312;-22.899404;-43.22463
Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;Rua Vinícius de Moraes, 1177;-22.811801;-43.209262
Olaria;2;0;0;90;1000.0;150.0;0.0;Avenida Vinícius de Moraes, 1015;-22.862939;-43.262685
Humaitá;1;0;0;57;3990.0;860.0;100.0;Rua Bolívar, 285;-22.951524;-43.190669
Maracanã;3;1;0;95;2500.0;600.0;80.0;Rua Conde de Bonfim, 1433;-22.917954;-43.235577
Leblon;4;2;2;200;11000.0;2900.0;580.0;Rua Timóteo da Costa, 1440;-22.983647;-43.225304
Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;Rua Vinícius de Moraes, 107;-23.009264;-43.370507
Gávea;2;1;1;100;3900.0;1300.0;320.0;Rua das Palmeiras, 85;-22.977439;-43.232307
Ipanema;3;2;1;165;7500.0;2200.0;532.0;Rua das Camélias, 1050;-22.988461;-43.210986
Ipanema;3;2;2;160;6000.0;3500.0;4600.0;Rua Voluntários da Pátria, 630;-22.987316;-43.211975
Flamengo;1;1;0;48;2100.0;580.0;70.0;Avenida Barão de Ipanema, 11;-22.93878;-43.180455
Leblon;2;1;1;87;4800.0;1300.0;361.0;Rua Barata Ribeiro, 652;-22.983702;-43.224626
Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;Rua Voluntários da Pátria, 490;-23.001133;-43.360906
Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;Rua Conde de Bonfim, 350;-23.00759;-43.365242
Botafogo;3;1;1;102;5100.0;1300.0;0.0;Rua Bolívar, 696;-22.953931;-43.181535
Gávea;3;0;1;120;2700.0;880.0;238.0;Rua Conde de Bonfim, 215;-22.974361;-43.236695
Humaitá;2;2;1;112;4500.0;1300.0;0.0;Rua Mena Barreto, 56;-22.950274;-43.201389
Vila da Penha;2;0;0;60;900.0;160.0;25.0;Rua das Acácias, 858;-22.844072;-43.310758
Lagoa;1;1;0;75;2800.0;800.0;210.0;Rua General Polidoro, 1281;-22.974518;-43.199407
Ipanema;3;1;1;125;7000.0;2100.0;463.0;Rua Aristides Espínola, 1284;-22.982371;-43.213647
Engenho Novo;2;0;0;53;1400.0;460.0;12.0;Rua Timóteo da Costa, 909;-22.908849;-43.262274
Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;Avenida das Flores, 484;-23.018384;-43.468062
Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;Rua Figueiredo Magalhães, 626;-23.000909;-43.363791
Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;Rua General San Martin, 526;-23.026388;-43.471463
Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;Rua Álvaro Ramos, 1065;-23.029972;-43.470414
Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;Avenida das Flores, 894;-23.001637;-43.367194
Engenho Novo;1;1;0;63;700.0;625.0;36.0;Rua das Palmeiras, 267;-22.910388;-43.271575
Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;Rua do Sacopã, 34;-23.004412;-43.359099
Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0;Rua Vinícius de Moraes, 1346;-23.018283;-43.465384
Anil;2;1;0;48;1100.0;400.0;0.0;Rua Barão de Ipanema, 417;-22.944835;-43.355066
Ipanema;4;1;2;250;12000.0;2300.0;1050.0;Rua Conde de Bonfim, 998;-22.989194;-43.208465
Gávea;2;1;1;68;2700.0;850.0;186.0;Rua Barão de Ipanema, 354;-22.972865;-43.238282
Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;Rua Barão de Ipanema, 834;-23.000013;-43.367956
Ipanema;2;1;1;97;7000.0;4000.0;4725.0;Rua Real Grandeza, 854;-22.985046;-43.207469
Cachambi;3;0;0;70;900.0;200.0;30.0;Rua do Sacopã, 776;-22.889499;-43.268499
Copacabana;4;2;1;279;3150.0;2025.0;370.0;Rua Barata Ribeiro, 617;-22.97695;-43.178648
Laranjeiras;5;3;2;713;30000.0;3800.0;0.0;Rua Barão de Ipanema, 1027;-22.938571;-43.181024
Cachambi;2;1;0;70;950.0;530.0;30.0;Rua Bartolomeu Mitre, 307;-22.896808;-43.268761
Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0;Rua Conde de Bonfim, 710;-23.019892;-43.461449
Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;Rua Barata Ribeiro, 780;-23.021398;-43.46186
Maracanã;1;1;1;120;1000.0;985.0;150.0;Rua Timóteo da Costa, 859;-22.915799;-43.228026
Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0;Avenida Álvaro Ramos, 1199;-23.028945;-43.461552
Tijuca;2;1;1;70;1500.0;890.0;68.0;Rua Santa Clara, 44;-22.930502;-43.237547
Vaz Lobo;2;0;0;70;1000.0;32.0;0.0;Rua do Sacopã, 1332;-22.863949;-43.323974
Madureira;2;0;0;40;600.0;415.0;0.0;Rua Vinícius de Moraes, 875;-22.873664;-43.34247
Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0;Avenida Figueiredo Magalhães, 706;-23.02529;-43.465179
Copacabana;2;1;1;81;2900.0;893.0;190.0;Rua Real Grandeza, 205;-22.974739;-43.183674
Praça Seca;3;0;0;90;900.0;330.0;15.0;Rua das Laranjeiras, 1432;-22.899246;-43.338285
Vila Isabel;3;3;1;124;1700.0;1400.0;0.0;Rua Vinícius de Moraes, 1322;-22.921777;-43.248213
Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0;Rua Bolívar, 787;-23.026863;-43.469975
Ipanema;2;0;1;75;5200.0;476.0;120.0;Rua das Laranjeiras, 727;-22.984179;-43.212487
São Conrado;5;2;3;400;13000.0;4165.0;689.0;Rua das Camélias, 174;-22.994288;-43.25997
Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0;Rua São Clemente, 1316;-22.942071;-43.346063
Laranjeiras;2;1;1;70;2300.0;620.0;190.0;Avenida Uruguai, 1429;-22.92888;-43.179885
Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;Rua Voluntários da Pátria, 833;-23.029338;-43.470746
Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;Rua Silva Rabelo, 818;-23.009336;-43.36085
Copacabana;1;0;0;43;1600.0;452.0;242.0;Rua dos Ipês, 1279;-22.975116;-43.185161
Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;Rua Álvaro Ramos, 563;-23.003489;-43.362178
São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0;Rua das Palmeiras, 318;-22.903542;-43.22748
Copacabana;3;0;0;120;3000.0;1420.0;0.0;Avenida General San Martin, 159;-22.965802;-43.186752
Pechincha;2;1;0;64;800.0;248.0;14.0;Rua Ataulfo de Paiva, 626;-22.921426;-43.337542
Copacabana;1;0;0;45;2800.0;450.0;30.0;Rua das Flores, 1278;-22.971702;-43.185257
Laranjeiras;2;0;0;110;2500.0;968.0;167.0;Rua General San Martin, 380;-22.929205;-43.187628
Ipanema;4;3;3;433;37000.0;9800.0;0.0;Avenida das Acácias, 1333;-22.986862;-43.213665
Flamengo;2;0;0;85;2700.0;800.0;1150.0;Rua Santa Clara, 799;-22.929472;-43.175588
Leme;3;1;1;175;8000.0;1380.0;0.0;Rua Uruguai, 197;-22.963461;-43.170485
Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;Avenida das Flores, 253;-22.952073;-43.364816
Humaitá;2;1;0;64;2500.0;520.0;0.0;Rua Álvaro Ramos, 54;-22.954647;-43.199007
Copacabana;1;0;1;37;2500.0;447.0;20.0;Rua do Sacopã, 916;-22.975673;-43.177198
Copacabana;4;2;2;240;10000.0;2000.0;700.0;Rua Bartolomeu Mitre, 288;-22.97152;-43.183395
Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0;Rua Uruguai, 708;-22.998637;-43.36118
